时间(秒),抬头率(%),检测到的人脸数,抬头人数,低头人数,趴卧人数,举手人数,总人数
288.6,0.0,0,0,0,0,0,3
289.1,0.0,0,0,0,0,0,3
289.7,33.3,0,0,0,0,0,3
290.2,33.3,0,0,0,0,0,3
290.8,33.3,0,0,0,0,0,3
291.3,66.7,0,0,0,0,0,3
291.8,66.7,0,0,0,0,0,3
292.3,66.7,0,0,0,0,0,3
292.8,33.3,0,0,0,0,0,3
293.4,66.7,0,0,0,0,0,3
293.9,66.7,0,0,0,0,0,3
294.4,66.7,0,0,0,0,0,3
294.9,66.7,0,0,0,0,0,3
295.5,66.7,0,0,0,0,0,3
296.0,66.7,0,0,0,0,0,3
296.5,66.7,0,0,0,0,0,3
297.0,66.7,0,0,0,0,0,3
297.5,66.7,0,0,0,0,0,3
298.2,33.3,0,0,0,0,0,3
298.8,33.3,0,0,0,0,0,3
299.3,33.3,0,0,0,0,0,3
299.8,33.3,0,0,0,0,0,3
300.4,0.0,0,0,0,0,0,3
300.9,33.3,0,0,0,0,0,3
301.4,33.3,0,0,0,0,0,3
302.0,33.3,0,0,0,0,0,3
302.5,33.3,0,0,0,0,0,3
303.0,66.7,0,0,0,0,0,3
303.5,66.7,0,0,0,0,0,3
304.0,66.7,0,0,0,0,0,3
304.6,66.7,0,0,0,0,0,3
305.1,66.7,0,0,0,0,0,3
305.7,66.7,0,0,0,0,0,3
306.2,66.7,0,0,0,0,0,3
306.7,66.7,0,0,0,0,0,3
307.2,66.7,0,0,0,0,0,3
307.9,66.7,0,0,0,0,0,3
308.4,33.3,0,0,0,0,0,3
308.9,33.3,0,0,0,0,0,3
309.5,33.3,0,0,0,0,0,3
309.9,33.3,0,0,0,0,0,3
310.4,33.3,0,0,0,0,0,3
311.0,33.3,0,0,0,0,0,3
311.5,0.0,0,0,0,0,0,3
312.0,0.0,0,0,0,0,0,3
312.5,0.0,0,0,0,0,0,3
313.0,0.0,0,0,0,0,0,3
313.5,0.0,0,0,0,0,0,3
314.0,0.0,0,0,0,0,0,3
314.5,0.0,0,0,0,0,0,3
